Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 16:13:39
Elapsed Time;00:00:59:980
Samples;811

--Statistics--
Minimum [W];7,9734E-05
Maximum [W];8,0321E-05
Mean [W];7,9969E-05
Standard Deviation [W];9,1943E-08
Ratio;1,007 : 1

--Graph Data--
Time (ms);Power (W)
57751,785;7,9962E-05
57810,785;7,9911E-05
57851,785;7,9877E-05
57935,785;7,9876E-05
58031,785;7,9774E-05
58095,785;7,9808E-05
58155,785;7,9883E-05
58227,785;7,994E-05
58287,785;7,9974E-05
58409,785;7,9988E-05
58467,785;8,0003E-05
58538,785;8,0001E-05
58581,785;7,9986E-05
58651,785;7,9981E-05
58710,785;8E-05
58774,785;8,0033E-05
58895,785;8,0002E-05
59001,785;8,0029E-05
59060,785;7,9999E-05
59122,785;7,9946E-05
59184,785;7,9893E-05
59246,785;7,9845E-05
59366,785;7,9902E-05
59425,785;7,9923E-05
59487,785;7,994E-05
59616,785;7,9901E-05
59734,728;7,9817E-05
59800,728;7,9817E-05
59859,728;7,9848E-05
59918,728;7,9856E-05
59980,728;7,9853E-05
